GeneID	GeneSymb	NumberOfEvidence	EvidenceDetail	NumberOfLiterature	Alias	Link	Cytoband	FullName	GeneType
1019	CDK4	2	GeneRif,Reactome,	1	CMM3|PSK-J3	MIM:123829|HGNC:HGNC:1773|Ensembl:ENSG00000135446|HPRD:00447|Vega:OTTHUMG00000170382	12q14	cyclin-dependent kinase 4	protein-coding
1017	CDK2	2	GeneRif,Reactome,	1	CDKN2|p33(CDK2)	MIM:116953|HGNC:HGNC:1771|Ensembl:ENSG00000123374|HPRD:00310|Vega:OTTHUMG00000170575	12q13	cyclin-dependent kinase 2	protein-coding
998	CDC42	1	GeneRif,	1	CDC42Hs|G25K	MIM:116952|HGNC:HGNC:1736|Ensembl:ENSG00000070831|HPRD:00309|Vega:OTTHUMG00000002753	1p36.1	cell division cycle 42	protein-coding
9978	RBX1	1	GeneRif,	1	BA554C12.1|RNF75|ROC1	MIM:603814|HGNC:HGNC:9928|HPRD:06794	22q13.2	ring-box 1, E3 ubiquitin protein ligase	protein-coding
996	CDC27	1	Reactome,		ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	MIM:116946|HGNC:HGNC:1728|Ensembl:ENSG00000004897|HPRD:00304|Vega:OTTHUMG00000166429	17q21.32	cell division cycle 27	protein-coding
983	CDK1	1	GeneRif,	1	CDC2|CDC28A|P34CDC2	MIM:116940|HGNC:HGNC:1722|Ensembl:ENSG00000170312|HPRD:00302|Vega:OTTHUMG00000018290	10q21.1	cyclin-dependent kinase 1	protein-coding
9794	MAML1	1	GeneRif,	1	Mam-1|Mam1	MIM:605424|HGNC:HGNC:13632|Ensembl:ENSG00000161021|HPRD:05665|Vega:OTTHUMG00000163237	5q35	mastermind-like 1 (Drosophila)	protein-coding
960	CD44	1	GeneRif,	2	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	MIM:107269|HGNC:HGNC:1681|Ensembl:ENSG00000026508|HPRD:00115|Vega:OTTHUMG00000044388	11p13	CD44 molecule (Indian blood group)	protein-coding
9587	MAD2L1BP	1	GeneRif,	1	CMT2	HGNC:HGNC:21059|Ensembl:ENSG00000124688|HPRD:10065|Vega:OTTHUMG00000014747	6p21.1	MAD2L1 binding protein	protein-coding
9448	MAP4K4	1	Reactome,		FLH21957|HEL-S-31|HGK|MEKKK4|NIK	MIM:604666|HGNC:HGNC:6866|Ensembl:ENSG00000071054|HPRD:05235|Vega:OTTHUMG00000155394	2q11.2-q12	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
9447	AIM2	1	GeneRif,	1	PYHIN4	MIM:604578|HGNC:HGNC:357|Ensembl:ENSG00000163568|HPRD:05202|Vega:OTTHUMG00000037183	1q22	absent in melanoma 2	protein-coding
9401	RECQL4	1	GeneRif,	1	RECQ4	MIM:603780|HGNC:HGNC:9949|Ensembl:ENSG00000160957|HPRD:04805|Vega:OTTHUMG00000165178	8q24.3	RecQ protein-like 4	protein-coding
93663	ARHGAP18	1	GeneRif,	1	MacGAP|SENEX|bA307O14.2	MIM:613351|HGNC:HGNC:21035|Ensembl:ENSG00000146376|HPRD:12474|Vega:OTTHUMG00000015547	6q22.33	Rho GTPase activating protein 18	protein-coding
9365	KL	1	GeneRif,	2	-	MIM:604824|HGNC:HGNC:6344|Ensembl:ENSG00000133116|HPRD:05316|Vega:OTTHUMG00000017408	13q12	klotho	protein-coding
9261	MAPKAPK2	1	Reactome,		MAPKAP-K2|MK-2|MK2	MIM:602006|HGNC:HGNC:6887|Ensembl:ENSG00000162889|HPRD:11882|Vega:OTTHUMG00000036342	1q32	mitogen-activated protein kinase-activated protein kinase 2	protein-coding
9212	AURKB	1	GeneRif,	1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	MIM:604970|HGNC:HGNC:11390|Ensembl:ENSG00000178999|HPRD:05397|Vega:OTTHUMG00000108189	17p13.1	aurora kinase B	protein-coding
9194	SLC16A7	1	GeneRif,	1	MCT2	MIM:603654|HGNC:HGNC:10928|Ensembl:ENSG00000118596|HPRD:06791|Vega:OTTHUMG00000169923	12q13	solute carrier family 16 (monocarboxylate transporter), member 7	protein-coding
9134	CCNE2	1	Reactome,		CYCE2	MIM:603775|HGNC:HGNC:1590|Ensembl:ENSG00000175305|HPRD:04801|Vega:OTTHUMG00000164696	8q22.1	cyclin E2	protein-coding
8970	HIST1H2BJ	1	Reactome,		H2B/r|H2BFR|H2BJ	MIM:615044|HGNC:HGNC:4761|HPRD:13657	6p22.1	histone cluster 1, H2bj	protein-coding
8968	HIST1H3F	1	Reactome,		H3/i|H3FI	MIM:602816|HGNC:HGNC:4773|Ensembl:ENSG00000277775|HPRD:11910|Vega:OTTHUMG00000014435	6p22.2	histone cluster 1, H3f	protein-coding
890	CCNA2	1	Reactome,		CCN1|CCNA	MIM:123835|HGNC:HGNC:1578|Ensembl:ENSG00000145386|HPRD:00453|Vega:OTTHUMG00000133072	4q27	cyclin A2	protein-coding
8888	MCM3AP	1	GeneRif,	1	GANP|MAP80|SAC3	MIM:603294|HGNC:HGNC:6946|Ensembl:ENSG00000160294|HPRD:04483|Vega:OTTHUMG00000090630	21q22.3	minichromosome maintenance complex component 3 associated protein	protein-coding
8881	CDC16	1	Reactome,		ANAPC6|APC6|CUT9	MIM:603461|HGNC:HGNC:1720|Ensembl:ENSG00000130177|HPRD:04587|Vega:OTTHUMG00000017402	13q34	cell division cycle 16	protein-coding
8848	TSC22D1	1	GeneRif,	1	Ptg-2|TGFB1I4|TSC22	MIM:607715|HGNC:HGNC:16826|Ensembl:ENSG00000102804|HPRD:07414|Vega:OTTHUMG00000016838	13q14	TSC22 domain family, member 1	protein-coding
875	CBS	1	GeneRif,	1	HIP4	MIM:613381|HGNC:HGNC:1550|Ensembl:ENSG00000160200|HPRD:01994|Vega:OTTHUMG00000086834	21q22.3	cystathionine-beta-synthase	protein-coding
8741	TNFSF13	1	GeneRif,	1	APRIL|CD256|TALL-2|TALL2|TRDL-1|UNQ383/PRO715|ZTNF2	MIM:604472|HGNC:HGNC:11928|Ensembl:ENSG00000161955|Vega:OTTHUMG00000108145	17p13.1	tumor necrosis factor (ligand) superfamily, member 13	protein-coding
8727	CTNNAL1	1	GeneRif,	1	ACRP|CLLP|alpha-CATU	MIM:604785|HGNC:HGNC:2512|Ensembl:ENSG00000119326|HPRD:09210|Vega:OTTHUMG00000020466	9q31.2	catenin (cadherin-associated protein), alpha-like 1	protein-coding
8726	EED	1	Reactome,		HEED|WAIT1	MIM:605984|HGNC:HGNC:3188|Ensembl:ENSG00000074266|HPRD:09343|Vega:OTTHUMG00000167209	11q14.2-q22.3	embryonic ectoderm development	protein-coding
87178	PNPT1	1	GeneRif,	3	COXPD13|DFNB70|OLD35|PNPASE|old-35	MIM:610316|HGNC:HGNC:23166|Ensembl:ENSG00000138035|HPRD:18493|Vega:OTTHUMG00000129335	2p15	polyribonucleotide nucleotidyltransferase 1	protein-coding
8697	CDC23	1	Reactome,		ANAPC8|APC8|CUT23	MIM:603462|HGNC:HGNC:1724|Ensembl:ENSG00000094880|HPRD:07221|Vega:OTTHUMG00000129198	5q31	cell division cycle 23	protein-coding
8635	RNASET2	1	GeneRif,	1	RNASE6PL|bA514O12.3	MIM:612944|HGNC:HGNC:21686|Ensembl:ENSG00000026297|HPRD:10197|Vega:OTTHUMG00000016009	6q27	ribonuclease T2	protein-coding
8626	TP63	1	GeneRif,	1	AIS|B(p51A)|B(p51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|p40|p51|p53CP|p63|p73H|p73L	MIM:603273|HGNC:HGNC:15979|Ensembl:ENSG00000073282|HPRD:04469|Vega:OTTHUMG00000156313	3q28	tumor protein p63	protein-coding
857	CAV1	1	GeneRif,	3	BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21	MIM:601047|HGNC:HGNC:1527|Ensembl:ENSG00000105974|HPRD:03028|Vega:OTTHUMG00000023413	7q31.1	caveolin 1, caveolae protein, 22kDa	protein-coding
8569	MKNK1	1	GeneRif,	1	MNK1	MIM:606724|HGNC:HGNC:7110|Ensembl:ENSG00000079277|HPRD:09468|Vega:OTTHUMG00000007983	1p33	MAP kinase interacting serine/threonine kinase 1	protein-coding
85480	TSLP	1	GeneRif,	1	-	MIM:607003|HGNC:HGNC:30743|Ensembl:ENSG00000145777|HPRD:06108|Vega:OTTHUMG00000128791	5q22.1	thymic stromal lymphopoietin	protein-coding
85236	HIST1H2BK	1	Reactome,		H2B/S|H2BFAiii|H2BFT|H2BK	MIM:615045|HGNC:HGNC:13954|HPRD:13658	6p21.33	histone cluster 1, H2bk	protein-coding
8493	PPM1D	1	GeneRif,	1	PP2C-DELTA|WIP1	MIM:605100|HGNC:HGNC:9277|Ensembl:ENSG00000170836|HPRD:05482|Vega:OTTHUMG00000180052	17q23.2	protein phosphatase, Mg2+/Mn2+ dependent, 1D	protein-coding
84868	HAVCR2	1	GeneRif,	1	CD366|HAVcr-2|KIM-3|TIM3|TIMD-3|TIMD3|Tim-3	MIM:606652|HGNC:HGNC:18437|Ensembl:ENSG00000135077|HPRD:16227|Vega:OTTHUMG00000130249	5q33.3	hepatitis A virus cellular receptor 2	protein-coding
84733	CBX2	1	Reactome,		CDCA6|M33|SRXY5	MIM:602770|HGNC:HGNC:1552|Ensembl:ENSG00000173894|HPRD:14397|Vega:OTTHUMG00000177463	17q25.3	chromobox homolog 2	protein-coding
84678	KDM2B	1	GeneRif,	1	CXXC2|FBXL10|Fbl10|JHDM1B|PCCX2	MIM:609078|HGNC:HGNC:13610|Ensembl:ENSG00000089094|HPRD:12362|Vega:OTTHUMG00000169071	12q24.31	lysine (K)-specific demethylase 2B	protein-coding
84661	DPY30	1	GeneRif,	1	Cps25|HDPY-30|Saf19	MIM:612032|HGNC:HGNC:24590|Ensembl:ENSG00000162961|HPRD:17434|Vega:OTTHUMG00000128457	2p22.3	dpy-30 homolog (C. elegans)	protein-coding
84417	C2orf40	1	GOA,		ECRG4	MIM:611752|HGNC:HGNC:24642|Ensembl:ENSG00000119147|HPRD:13261|Vega:OTTHUMG00000130921	2q12.2	chromosome 2 open reading frame 40	protein-coding
83719	YPEL3	1	GeneRif,	1	-	MIM:609724|HGNC:HGNC:18327|Ensembl:ENSG00000090238|HPRD:15683|Vega:OTTHUMG00000176853	16p11.2	yippee-like 3 (Drosophila)	protein-coding
8370	HIST2H4A	1	Reactome,		FO108|H4|H4/n|H4F2|H4FN|HIST2H4	MIM:142750|HGNC:HGNC:4794|HPRD:11821	1q21.2	histone cluster 2, H4a	protein-coding
8368	HIST1H4L	1	Reactome,		H4.k|H4/k|H4FK	MIM:602831|HGNC:HGNC:4791|Ensembl:ENSG00000275126|HPRD:11922|Vega:OTTHUMG00000016211	6p22.1	histone cluster 1, H4l	protein-coding
8367	HIST1H4E	1	Reactome,		H4/j|H4FJ	MIM:602830|HGNC:HGNC:4790|Ensembl:ENSG00000276966|HPRD:11921|Vega:OTTHUMG00000014441	6p22.2	histone cluster 1, H4e	protein-coding
8366	HIST1H4B	1	Reactome,		H4/I|H4FI	MIM:602829|HGNC:HGNC:4789|Ensembl:ENSG00000278705|HPRD:11920|Vega:OTTHUMG00000014417	6p22.2	histone cluster 1, H4b	protein-coding
8365	HIST1H4H	1	Reactome,		H4/h|H4FH	MIM:602828|HGNC:HGNC:4788|Ensembl:ENSG00000158406|HPRD:11919|Vega:OTTHUMG00000014454	6p22.1	histone cluster 1, H4h	protein-coding
8364	HIST1H4C	1	Reactome,		H4/g|H4FG|dJ221C16.1	MIM:602827|HGNC:HGNC:4787|HPRD:11918	6p22.1	histone cluster 1, H4c	protein-coding
8363	HIST1H4J	1	Reactome,		H4/e|H4F2iv|H4FE|dJ160A22.2	MIM:602826|HGNC:HGNC:4785|Ensembl:ENSG00000197238|HPRD:11917|Vega:OTTHUMG00000014487	6p22.1	histone cluster 1, H4j	protein-coding
8362	HIST1H4K	1	Reactome,		H4/d|H4F2iii|H4FD|dJ160A22.1	MIM:602825|HGNC:HGNC:4784|Ensembl:ENSG00000273542|HPRD:11916|Vega:OTTHUMG00000014488	6p22.1	histone cluster 1, H4k	protein-coding
8361	HIST1H4F	1	Reactome,		H4|H4/c|H4FC	MIM:602824|HGNC:HGNC:4783|Ensembl:ENSG00000274618|HPRD:11915|Vega:OTTHUMG00000014443	6p22.2	histone cluster 1, H4f	protein-coding
8360	HIST1H4D	1	Reactome,		H4/b|H4FB|dJ221C16.9	MIM:602823|HGNC:HGNC:4782|Ensembl:ENSG00000277157|HPRD:11914|Vega:OTTHUMG00000014423	6p22.2	histone cluster 1, H4d	protein-coding
8359	HIST1H4A	1	Reactome,		H4FA	MIM:602822|HGNC:HGNC:4781|Ensembl:ENSG00000278637|HPRD:04157|Vega:OTTHUMG00000014419	6p22.2	histone cluster 1, H4a	protein-coding
8358	HIST1H3B	1	Reactome,		H3/l|H3FL	MIM:602819|HGNC:HGNC:4776|Ensembl:ENSG00000274267|HPRD:11913|Vega:OTTHUMG00000014415	6p22.2	histone cluster 1, H3b	protein-coding
8357	HIST1H3H	1	Reactome,		H3/k|H3F1K|H3FK	MIM:602818|HGNC:HGNC:4775|HPRD:11912	6p22.1	histone cluster 1, H3h	protein-coding
8356	HIST1H3J	1	Reactome,		H3/j|H3FJ	MIM:602817|HGNC:HGNC:4774|Ensembl:ENSG00000197153|HPRD:11911|Vega:OTTHUMG00000016185	6p22.1	histone cluster 1, H3j	protein-coding
8355	HIST1H3G	1	Reactome,		H3/h|H3FH	MIM:602815|HGNC:HGNC:4772|HPRD:11909	6p22.2	histone cluster 1, H3g	protein-coding
8354	HIST1H3I	1	Reactome,		H3.f|H3/f|H3FF	MIM:602814|HGNC:HGNC:4771|Ensembl:ENSG00000275379|HPRD:11908|Vega:OTTHUMG00000016184	6p22.1	histone cluster 1, H3i	protein-coding
8353	HIST1H3E	1	Reactome,		H3.1|H3/d|H3FD	MIM:602813|HGNC:HGNC:4769|Ensembl:ENSG00000274750|HPRD:11907|Vega:OTTHUMG00000014434	6p22.2	histone cluster 1, H3e	protein-coding
8352	HIST1H3C	1	Reactome,		H3.1|H3/c|H3FC	MIM:602812|HGNC:HGNC:4768|Ensembl:ENSG00000278272|HPRD:11906|Vega:OTTHUMG00000014416	6p22.2	histone cluster 1, H3c	protein-coding
8351	HIST1H3D	1	Reactome,		H3/b|H3FB	MIM:602811|HGNC:HGNC:4767|HPRD:11905	6p22.1	histone cluster 1, H3d	protein-coding
8350	HIST1H3A	1	Reactome,		H3/A|H3FA	MIM:602810|HGNC:HGNC:4766|Ensembl:ENSG00000275714|HPRD:04155|Vega:OTTHUMG00000014418	6p22.2	histone cluster 1, H3a	protein-coding
8349	HIST2H2BE	1	Reactome,		GL105|H2B|H2B.1|H2BFQ|H2BGL105|H2BQ	MIM:601831|HGNC:HGNC:4760|Ensembl:ENSG00000184678|HPRD:03494|Vega:OTTHUMG00000012095	1q21.2	histone cluster 2, H2be	protein-coding
8348	HIST1H2BO	1	Reactome,		H2B.2|H2B/n|H2BFN|dJ193B12.2	MIM:602808|HGNC:HGNC:4758|Ensembl:ENSG00000274641|HPRD:11904|Vega:OTTHUMG00000014493	6p22.1	histone cluster 1, H2bo	protein-coding
8347	HIST1H2BC	1	Reactome,		H2B.1|H2B/l|H2BFL|dJ221C16.3	MIM:602847|HGNC:HGNC:4757|HPRD:13656	6p22.1	histone cluster 1, H2bc	protein-coding
